语料ID,产品ID,产品名称
酒店评论-1030,ID38,茂名好来登商务酒店
酒店评论-1512,ID39,茂名恒运商务酒店
酒店评论-1027,ID40,茂名红金鼎商务宾馆
酒店评论-1605,ID41,茂名红天旅馆
酒店评论-1049,ID42,茂名华燕宾馆
酒店评论-1781,ID43,茂名化州丽登酒店
酒店评论-1467,ID44,茂名君怡酒店
酒店评论-1001,ID45,茂名君悦商务酒店
酒店评论-1419,ID46,茂名君悦商务酒店人民大道店
酒店评论-1544,ID47,茂名蓝海洋酒店
酒店评论-1006,ID48,茂名荔晶大酒店
酒店评论-1668,ID49,茂名龙栖湾旅馆
酒店评论-1923,ID50,茂名茂南高山九树公寓
酒店评论-1165,ID51,茂名名晟宾馆
酒店评论-1011,ID52,茂名南越印象岭南文化主题酒店火车站店
酒店评论-1751,ID53,茂名泊愉青年公寓
酒店评论-1602,ID54,茂名市便捷酒店(高铁火车站店)
酒店评论-1140,ID55,茂名途遇精品酒店
酒店评论-1065,ID56,茂名万达广场雅斯特国际酒店
酒店评论-1017,ID57,茂名威利国际酒店
酒店评论-1116,ID58,茂名温德姆至尊酒店
酒店评论-1446,ID59,茂名文华酒店
酒店评论-1035,ID60,茂名熹龙国际大酒店
酒店评论-1361,ID61,茂名鑫都宾馆
酒店评论-1789,ID62,茂名星城湾国际酒店
酒店评论-1003,ID63,茂名永利之家
酒店评论-1190,ID64,茂名御景国际大酒店
酒店评论-1147,ID65,茂名栈泉酒店
酒店评论-1033,ID66,轻住悦享酒店(茂名高铁南站店)
酒店评论-1434,ID67,如家酒店·neo(茂名人民路步行街中心店)
酒店评论-1026,ID68,尚客优连锁酒店(茂名高铁火车站店)
酒店评论-1513,ID69,尚客优连锁酒店(信宜银湖路店)
酒店评论-1089,ID70,唐华商务酒店(茂名高铁火车站店)
酒店评论-1051,ID71,维也纳3好酒店(茂名沿江大厦店)
酒店评论-1002,ID72,维也纳国际酒店(茂名电白店)
酒店评论-1028,ID73,维也纳国际酒店(茂名高铁火车站店)
酒店评论-1036,ID74,维也纳国际酒店(茂名万达广场店)
酒店评论-1567,ID75,信宜丽晶酒店
酒店评论-1452,ID76,信宜天鹅湖宾馆
酒店评论-1073,ID77,星悦酒店(茂名文化广场店)
酒店评论-1466,ID78,英利商务酒店(化州上街路店)
酒店评论-1029,ID79,卓越酒店(茂名万达广场店)
酒店评论-1128,ID80,如家酒店·neo(茂名高铁火车站店)
酒店评论-1042,ID81,茂名文汇酒店
酒店评论-1141,ID82,茂名零六六八公寓
酒店评论-1187,ID83,茂名金沙商务酒店
酒店评论-1005,ID84,茂名华景商务酒店
酒店评论-1084,ID85,茂名宏悦大酒店
酒店评论-1047,ID86,茂名大龙湾酒店
酒店评论-1213,ID87,IU酒店(信宜中兴六路店)
酒店评论-1032,ID88,52连锁酒店(化州店)
酒店评论-1013,ID89,茂名卓钰精品酒店
景区评论-1366,ID90,白水瀑布
景区评论-1224,ID91,保利·南海１号展览馆
景区评论-1151,ID92,保利银滩浴场
景区评论-1372,ID93,潮州风吹岭石刻群
景区评论-1022,ID94,寸金动物园
景区评论-1245,ID95,大仁山风景区
景区评论-1169,ID96,大树岛
景区评论-1355,ID97,大通街
景区评论-1361,ID98,鼎龙湾德萨斯水世界
景区评论-1399,ID99,鼎龙湾高尔夫度假村
景区评论-1385,ID100,鼎龙湾欢乐海岸
景区评论-1157,ID101,东海岛
景区评论-1046,ID102,放鸡岛生态旅游国际度假区
景区评论-1104,ID103,浮山岭风景区
景区评论-1379,ID104,高州观山
景区评论-1376,ID105,高州市宝光塔
景区评论-1051,ID106,高州仙人洞景区
景区评论-1132,ID107,古郡水城
景区评论-1014,ID108,广东海洋大学
景区评论-1002,ID109,广垦（茂名）国家热带农业公园
景区评论-1010,ID110,海滨公园
景区评论-1071,ID111,海滨公园游乐场
景区评论-1019,ID112,海东度假村
景区评论-1113,ID113,海陵岛
景区评论-1273,ID114,海陵岛红树林国家湿地公园
景区评论-1099,ID115,鹤地水库风景区
景区评论-1517,ID116,湖光岩
景区评论-1066,ID117,吉兆湾
景区评论-1016,ID118,金鹿园
景区评论-1063,ID119,金沙湾海滨浴场
景区评论-1024,ID120,崆峒岩风景区
景区评论-1048,ID121,蓝袍湾
景区评论-1253,ID122,蓝月湾温泉
景区评论-1120,ID123,乐天温泉度假村
景区评论-1121,ID124,雷州古城
景区评论-1317,ID125,黎村温泉
景区评论-1150,ID126,廉江植物园
景区评论-1036,ID127,龙海天
景区评论-1136,ID128,露天矿生态公园
景区评论-1290,ID129,螺岗岭
景区评论-1123,ID130,马尾岛
景区评论-1410,ID131,茂名森林公园
景区评论-1330,ID132,敏捷欢乐黄金海岸
景区评论-1173,ID133,南国热带花园
景区评论-1382,ID134,南海1号一号银滩（十里银滩）
景区评论-1117,ID135,南三岛
景区评论-1086,ID136,硇洲岛
景区评论-1238,ID137,平云山
景区评论-1037,ID138,沙扒湾
景区评论-1149,ID139,沙扒湾奇乐摩天轮
景区评论-1236,ID140,十里银滩
景区评论-1004,ID141,石根山
景区评论-1213,ID142,双山岛
景区评论-1017,ID143,水东湾
景区评论-1054,ID144,苏二村
景区评论-1141,ID145,遂溪孔子文化城
景区评论-1138,ID146,塘山岭生态公园
景区评论-1263,ID147,特呈岛
景区评论-1221,ID148,特呈岛温泉度假村
景区评论-1249,ID149,天龙顶国家山地公园
景区评论-1094,ID150,天马山
景区评论-1005,ID151,天马山生态旅游区
景区评论-1020,ID152,天堂湖温泉度假山庄
景区评论-1491,ID153,田园寨
景区评论-1313,ID154,旺同公园
景区评论-1011,ID155,维纳斯皇家温泉（广东阳西店）
景区评论-1378,ID156,文光塔
景区评论-1435,ID157,吴阳金海岸沙滩
景区评论-1003,ID158,西江温泉度假村
景区评论-1163,ID159,霞山观海长廊
景区评论-1079,ID160,霞山天主教堂
景区评论-1146,ID161,仙湖山庄
景区评论-1072,ID162,冼太庙
景区评论-1130,ID163,谢鲁山庄风景名胜区
景区评论-1277,ID164,谢鞋山
景区评论-1400,ID165,晏镜岭
景区评论-1115,ID166,阳春东湖公园
景区评论-1007,ID167,阳江春都温泉
景区评论-1008,ID168,阳西青洲岛
景区评论-1109,ID169,阳西咸水矿温泉
景区评论-1031,ID170,瀛州公园
景区评论-1013,ID171,渔港公园
景区评论-1073,ID172,玉湖风景区
景区评论-1034,ID173,御水古温泉旅游度假区
景区评论-1077,ID174,鸳鸯湖公园
景区评论-1152,ID175,月亮湾碧海蓝天度假邨
景区评论-1119,ID176,月亮湾滨海度假区
景区评论-1041,ID177,闸坡
景区评论-1026,ID178,湛江博物馆
景区评论-1487,ID179,湛江梵高星空艺术馆
景区评论-1027,ID180,湛江海湾大桥
景区评论-1074,ID181,湛江红树林国家级自然保护区
景区评论-1278,ID182,湛江红嘴鸥游船
景区评论-1212,ID183,湛江森林公园
景区评论-1332,ID184,长坡旧城
景区评论-1222,ID185,中澳友谊花园
景区评论-1001,ID186,中国第一滩旅游度假区
景区评论-1059,ID187,中国南极长城站
景区评论-1276,ID188,中华第一冼太庙
景区评论-1775,ID189,广东海上丝绸之路博物馆
景区评论-2091,ID190,庐山村
景区评论-1709,ID191,螺岗小镇
景区评论-1722,ID192,马踏镇
景区评论-1627,ID193,茂德公古城
景区评论-1768,ID194,青州岛
景区评论-1605,ID195,三官山
景区评论-1945,ID196,冼太夫人故里文化旅游区
景区评论-1634,ID197,信宜莲花湖庄园
景区评论-2038,ID198,雅米乐园
景区评论-1720,ID199,阳光玫瑰生态园
景区评论-1866,ID200,粤龙山风景区
景区评论-1567,ID201,闸坡大角湾
景区评论-2090,ID202,镇隆古城
餐饮评论-1600,ID203,CAKE情迷黑森林
餐饮评论-1053,ID204,爱可咖啡馆（茂南店）
餐饮评论-1070,ID205,爱丽丝音乐餐吧
餐饮评论-1018,ID206,驰名湘菜馆
餐饮评论-1071,ID207,丰年面包店（茂南区店）
餐饮评论-1003,ID208,功夫鸡排（光华北路店）
餐饮评论-1181,ID209,果之度（为民店）
餐饮评论-1020,ID210,果之度（迎宾三路店）
餐饮评论-1004,ID211,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1126,ID212,茂香面包坊总店
餐饮评论-1002,ID213,清香面包店（车田街店）
餐饮评论-1001,ID214,盛香烧鹅（东方市场店）
餐饮评论-2052,ID215,顺德火焰醉鹅坊（站北五路店）
餐饮评论-1019,ID216,甜在心扉千层蛋糕（茂名店）
餐饮评论-1009,ID217,旺角亭（为民店）
餐饮评论-1016,ID218,喜相逢渝洲川菜酒楼（东方大道店）
餐饮评论-1015,ID219,鲜饮时光（高州店）
餐饮评论-1011,ID220,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1468,ID221,相聚时光（光明店）
餐饮评论-1023,ID222,小乔紫菜卷（小乔店）
餐饮评论-1101,ID223,瀛食精致料理
餐饮评论-1108,ID224,优乐堡（开发区店）
餐饮评论-1869,ID225,优悦西餐厅（维斯顿店）
餐饮评论-1006,ID226,优之品西点
餐饮评论-1087,ID227,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1832,ID228,元晟坊蛋糕（南香公园店）
餐饮评论-1072,ID229,尊霸披萨
餐饮评论-2124,ID230,尊宝比萨（康泰又一城店）
餐饮评论-2656,ID231,Hello炸鸡（方兴店）
餐饮评论-3705,ID232,LINLEE·手打柠檬茶（文创店）
餐饮评论-4770,ID233,棒子炸鸡?脆鸡饭（传湾新天地店）
餐饮评论-6169,ID234,煲珠霸（中山路店）
餐饮评论-2268,ID235,菠斯蒂蛋糕
餐饮评论-4588,ID236,草原郎烤羊
餐饮评论-5368,ID237,茶自点（文光店）
餐饮评论-4157,ID238,冲天香鸭粥店（光华北店）
餐饮评论-6389,ID239,川味龙虾馆（官山路店）
餐饮评论-2294,ID240,大赞?炙烧寿司（万达广场店）
餐饮评论-3920,ID241,二月时光烘焙坊（华夏世纪花园店）
餐饮评论-3554,ID242,法兰度航空主题餐厅（东汇城店）
餐饮评论-3923,ID243,付记·招牌酸菜鱼
餐饮评论-3703,ID244,港堡汉堡（双山四路店）
餐饮评论-3167,ID245,贵族自助牛排餐厅（华侨城店）
餐饮评论-6277,ID246,果·町·果汁·果茶（金港湾店）
餐饮评论-2896,ID247,果之度（开发区店）
餐饮评论-4060,ID248,汉宫传承隆江猪脚饭（上排垌店）
餐饮评论-5430,ID249,黑色经典长沙臭豆腐（为民路店）
餐饮评论-4029,ID250,江渔儿酸菜鱼（高州店）
餐饮评论-3693,ID251,椒王火锅（电白店）
餐饮评论-5302,ID252,椒王火锅（高州店）
餐饮评论-3096,ID253,街头牛排（光华北路店）
餐饮评论-2206,ID254,爵士厚牛排自助餐馆（汇丰店）
餐饮评论-4199,ID255,肯德基（茂名官渡店）
餐饮评论-2531,ID256,螺香汇·柳州螺蛳粉（官渡二路油校店）
餐饮评论-3961,ID257,麦当劳（明湖店）
餐饮评论-5098,ID258,麦壳西点（开发区店）
餐饮评论-3759,ID259,满酱（东湖店）
餐饮评论-6507,ID260,帕拉图西餐酒廊（华侨城店）
餐饮评论-5255,ID261,入火韩国烤肉（华侨城店）
餐饮评论-6565,ID262,三两粉（茂名东汇城店）
餐饮评论-2396,ID263,十七门重庆老火锅（电白万达店）
餐饮评论-6592,ID264,塔斯汀中国汉堡（民主店）
餐饮评论-6766,ID265,泰哥茶档
餐饮评论-5791,ID266,天台月光帐篷餐厅
餐饮评论-5946,ID267,围炉海鲜烤肉自助（金港湾店）
餐饮评论-5823,ID268,喜姐炸串（新天地店）
餐饮评论-4805,ID269,贤合庄卤味火锅（电白万达店）
餐饮评论-3796,ID270,相聚时光（化州店）
餐饮评论-7422,ID271,小和寿司（光明路店）
餐饮评论-4121,ID272,油校西餐厅（光遇·油校光华校区店）
餐饮评论-3641,ID273,友情有意音乐餐厅
餐饮评论-4380,ID274,遇见桃园烤鱼（新福路店）
餐饮评论-3756,ID275,御品豆花（宾南路店）
餐饮评论-2455,ID276,源丰唐茶楼（电白万达广场店）
餐饮评论-5806,ID277,悦创小鹅鹅桂林米粉（双山一路店）
餐饮评论-4233,ID278,云南过桥米线（汇景店）
餐饮评论-4618,ID279,真功夫（传湾新天地店）
餐饮评论-5095,ID280,至尊比萨（电城旗舰店）
餐饮评论-7278,ID281,周黑鸭（东汇城店）
